topic_id,subject_id,name,description,topic_id,subject_id,name
50,5,NISM Series I: Currency Derivatives Certification Examination,"Exam covering the principles and operations of currency derivatives markets, focusing on regulatory framework, pricing, and risk management.",50,5,NISM Series I: Currency Derivatives Certification Examination
51,5,NISM Series II A: Registrars to an Issue and Share Transfer Agents - Corporate,"NISM certification for corporate share transfer agents covering share transfer processes, regulations and compliance.",51,5,NISM Series II A: Registrars to an Issue and Share Transfer Agents - Corporate
52,5,NISM Series II B: Registrars to an Issue and Share Transfer Agents - Mutual Fund,"Certification focusing on registrar and transfer operations in mutual funds, regulatory requirements, and best practices.",52,5,NISM Series II B: Registrars to an Issue and Share Transfer Agents - Mutual Fund
53,5,NISM Series III A: Securities Intermediaries Compliance (Non-Fund),"Exam on compliance requirements for securities intermediaries (excluding funds), covering rules, risk controls, and market conduct.",53,5,NISM Series III A: Securities Intermediaries Compliance (Non-Fund)
54,5,NISM Series IV: Interest Rate Derivatives Certification Examination,"Certification exam emphasizing interest rate derivatives, their pricing, trading strategies, and regulatory environment.",54,5,NISM Series IV: Interest Rate Derivatives Certification Examination
55,5,NISM Series VA: Mutual Fund Distributors Certification Examination,"Certification for mutual fund distributors covering fundamentals of mutual funds, products, taxation and distribution practices.",55,5,NISM Series VA: Mutual Fund Distributors Certification Examination
56,5,NISM Series VB: Mutual Fund Foundation Certification Examination,Foundation level certification for mutual fund practitioners focusing on basic concepts and investor servicing.,56,5,NISM Series VB: Mutual Fund Foundation Certification Examination
57,5,NISM Series VC: Mutual Fund Distributors (Level 2) Certification Examination,"Advanced certification for mutual fund distributors with deeper emphasis on regulations, products, and practical case studies.",57,5,NISM Series VC: Mutual Fund Distributors (Level 2) Certification Examination
58,5,NISM Series VI: Depository Operations Certification Examination,"Exam on depository operations, including account opening, settlement processes, corporate actions, and regulations.",58,5,NISM Series VI: Depository Operations Certification Examination
59,5,NISM Series VII: Securities Operations and Risk Management Certification Examination,"Certification covering securities operations, risk management practices and operational controls in securities markets.",59,5,NISM Series VII: Securities Operations and Risk Management Certification Examination
60,5,NISM Series VIII: Equity Derivatives Certification Examination,"Exam focused on equity derivatives markets including instruments, pricing models, trading strategies and regulatory framework.",60,5,NISM Series VIII: Equity Derivatives Certification Examination
61,5,NISM Series IX: Merchant Banking Certification Examination,"Certification for merchant banking professionals covering issues related to capital markets, underwriting, corporate finance and compliance.",61,5,NISM Series IX: Merchant Banking Certification Examination
62,5,NISM Series XA: Investment Adviser (Level 1) Certification Examination,"Entry‑level certification for investment advisers focusing on advisory practices, regulatory landscape and ethical responsibilities.",62,5,NISM Series XA: Investment Adviser (Level 1) Certification Examination
63,5,NISM Series XB: Investment Adviser (Level 2) Certification Examination,"Advanced investment adviser certification with emphasis on financial planning tools, client assessment and portfolio strategies.",63,5,NISM Series XB: Investment Adviser (Level 2) Certification Examination
64,5,NISM Series XII: Securities Markets Foundation Certification Examination,"Exam covering fundamentals of securities markets, structure, instruments, and regulatory framework.",64,5,NISM Series XII: Securities Markets Foundation Certification Examination
65,5,NISM Series XIII: Common Derivative Certification Examination,"Certification focusing on derivative products, risk management, pricing and regulatory environment across markets.",65,5,NISM Series XIII: Common Derivative Certification Examination
66,5,NISM Series XV: Research Analyst Certification Examination,"Exam for research analysts covering equity research, financial analysis, valuation methods and report writing.",66,5,NISM Series XV: Research Analyst Certification Examination
67,5,NISM Series XVI: Commodity Derivatives Certification Examination,"Certification focused on commodity derivatives markets, pricing, risk and regulatory environment.",67,5,NISM Series XVI: Commodity Derivatives Certification Examination
68,5,NISM Series XVII: Retirement Adviser Certification Examination,"Exam focusing on retirement planning, products, regulations and adviser practices in long‑term financial planning.",68,5,NISM Series XVII: Retirement Adviser Certification Examination
69,5,NISM Series XIX A: Alternative Investment Funds (AIF) – Distributors Certification Examination,"Certification for distributors of alternative investment funds covering products, compliance and market practices.",69,5,NISM Series XIX A: Alternative Investment Funds (AIF) – Distributors Certification Examination
70,5,NISM Series XIX C: Alternative Investment Funds (AIF) – Managers Certification Examination,"Advanced certification for AIF managers covering regulatory framework, investment strategies and risk management.",70,5,NISM Series XIX C: Alternative Investment Funds (AIF) – Managers Certification Examination
